2025-05-12 18:46:14,449 - driver_manager - WARNING - Driver ignored. Error loading nvflare.fuel.f3.drivers.aio_http_driver: [Errno 2] No such file or directory
2025-05-12 18:46:14,460 - driver_manager - WARNING - Driver ignored. Error loading nvflare.fuel.f3.drivers.aio_http_driver: [Errno 2] No such file or directory
2025-05-12 18:46:18,548 - IntimeModelSelector - INFO - model selection weights control: {}
2025-05-12 18:46:18,607 - ModelQuantizer - INFO - Using model quantizator.
2025-05-12 18:46:18,608 - ModelDequantizer - INFO - Using model dequantizator.
2025-05-12 18:46:18,611 - FedAvg - INFO - [identity=simulator_server, run=simulate_job, wf=controller] - Initializing BaseModelController workflow.
2025-05-12 18:46:18,612 - FedAvg - INFO - [identity=simulator_server, run=simulate_job, wf=controller] - Beginning model controller run.
2025-05-12 18:46:18,612 - FedAvg - INFO - [identity=simulator_server, run=simulate_job, wf=controller] - Start FedAvg.
2025-05-12 18:46:18,612 - FedAvg - INFO - [identity=simulator_server, run=simulate_job, wf=controller] - loading initial model from persistor
2025-05-12 18:46:18,612 - PTFileModelPersistor - INFO - [identity=simulator_server, run=simulate_job, wf=controller] - Both source_ckpt_file_full_name and ckpt_preload_path are not provided. Using the default model weights initialized on the persistor side.
2025-05-12 18:46:18,613 - FedAvg - INFO - [identity=simulator_server, run=simulate_job, wf=controller] - Round 0 started.
2025-05-12 18:46:18,614 - FedAvg - INFO - [identity=simulator_server, run=simulate_job, wf=controller] - Sampled clients: ['site-dolly', 'site-alpaca', 'site-oasst1']
2025-05-12 18:46:18,614 - FedAvg - INFO - [identity=simulator_server, run=simulate_job, wf=controller] - Sending task train to ['site-dolly', 'site-alpaca', 'site-oasst1']
2025-05-12 18:46:23,958 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-dolly, peer_run=simulate_job, task_name=train, task_id=8cb93d5b-cae6-4b9c-93c7-51fd1979177d] - Running quantization...
2025-05-12 18:46:23,958 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-dolly, peer_run=simulate_job, task_name=train, task_id=8cb93d5b-cae6-4b9c-93c7-51fd1979177d] - Running quantization on 147 variables
2025-05-12 18:46:23,977 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Running quantization...
2025-05-12 18:46:23,978 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Running quantization on 147 variables
2025-05-12 18:46:24,175 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Skipping quantization for model.model.layers.0.self_attn.q_proj.weight, quantization bit float16 >= source data bit float16
2025-05-12 18:46:24,176 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Skipping quantization for model.model.layers.0.self_attn.k_proj.weight, quantization bit float16 >= source data bit float16
2025-05-12 18:46:24,176 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Skipping quantization for model.model.layers.0.self_attn.v_proj.weight, quantization bit float16 >= source data bit float16
2025-05-12 18:46:24,176 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Skipping quantization for model.model.layers.0.self_attn.o_proj.weight, quantization bit float16 >= source data bit float16
2025-05-12 18:46:24,176 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Skipping quantization for model.model.layers.0.mlp.gate_proj.weight, quantization bit float16 >= source data bit float16
2025-05-12 18:46:24,177 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Skipping quantization for model.model.layers.0.mlp.up_proj.weight, quantization bit float16 >= source data bit float16
2025-05-12 18:46:24,195 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Skipping quantization for model.model.layers.0.input_layernorm.weight, quantization bit float16 >= source data bit float16
2025-05-12 18:46:24,195 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Skipping quantization for model.model.layers.0.post_attention_layernorm.weight, quantization bit float16 >= source data bit float16
2025-05-12 18:46:24,196 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Skipping quantization for model.model.layers.1.self_attn.q_proj.weight, quantization bit float16 >= source data bit float16
2025-05-12 18:46:24,197 - ModelQuantizer - INFO - [identity=simulator_server, run=simulate_job, wf=controller, peer=site-alpaca, peer_run=simulate_job, task_name=train, task_id=cd257992-e600-497a-9936-debec6ad5a7d] - Skipping quantization for model.model.layers.1.self_attn.k_proj.weight, quantization bit float16 >= source data bit float16
